model,video_path,second,score_raw,score_smoothed,face_detected,num_faces,bbox_area,face_crop_size
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,0,0.5029454231262207,0.5029454231262207,1,1,50000,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,1,0.5029538869857788,0.5029496550559998,1,1,49590,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,2,0.5029551386833191,0.5029514829317728,1,1,49210,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,3,0.5029507279396057,0.5029512941837311,1,1,48994,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,4,0.5029328465461731,0.5029476046562195,1,1,48636,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,5,0.5029426217079163,0.5029467741648356,1,1,53116,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,6,0.5029350519180298,0.502945099558149,1,1,51917,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,7,0.5029259324073792,0.5029427036643028,1,1,50424,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,8,0.5029492378234863,0.5029434296819899,1,1,49140,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,9,0.5029339790344238,0.5029424846172332,1,1,51548,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,10,0.5029388070106506,0.5029421502893622,1,1,48960,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,11,0.5029386878013611,0.5029418617486954,1,1,52828,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,12,0.5029375553131104,0.5029415304844196,1,1,52650,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,13,0.5029593110084534,0.5029428005218506,1,1,52440,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,14,0.502936065196991,0.5029423515001933,1,1,54450,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,15,0.5029436349868774,0.5029422322909037,1,1,49728,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,16,0.5029566287994385,0.502942415078481,1,2,59534,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,17,0.5029407739639282,0.5029414574305217,1,2,59850,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,18,0.5029539465904236,0.5029416720072428,1,1,52528,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,19,0.502943217754364,0.5029423634211222,1,1,58956,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,20,0.5029417872428894,0.5029423077901204,1,2,56231,503x503
effort_clip_l14,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,21,0.5029628276824951,0.5029441595077515,1,1,51022,503x503
